ticker,sector,pe_ratio,ps_ratio,pb_ratio,peg_ratio,free_cash_flow,earnings_growth,pe_vs_sector
IEX,Industrials,33.681557,4.8062997,4.3157563,1.91,555612480.0,0.109,-2.121692573333341
IDXX,Healthcare,38.386776,9.44462,26.698948,3.44,909368384.0,0.176,5.220302903846154
ITW,Industrials,25.633726,4.8894496,27.980207,2.85,2432999936.0,0.101,-10.16952357333334
INCY,Healthcare,15.571604,4.4311495,4.0300303,30.6,1180664576.0,0.377,-17.594869096153843
IR,Industrials,32.78099,3.8754997,3.0242841,0.73,1107425024.0,,-3.0222595733333364
PODD,Healthcare,27.555347,3.33597,7.1619444,1.52,236900000.0,3.286,-5.611126096153843
IBKR,Financial Services,35.654762,22.397633,6.8572083,1.74,,0.353,16.476616711764702
ICE,Financial Services,22.370945,8.433679,3.0454483,2.89,3633625088.0,0.142,3.192799711764703
INTU,Technology,22.092186,4.730458,4.8111415,0.94,5232000000.0,0.107,-29.777163947368418
ISRG,Healthcare,42.99426,12.159063,7.2944016,1.95,2615200000.0,0.265,9.827786903846153
INVH,Real Estate,27.770641,6.3137727,1.9744309,13.14,1168785536.0,0.605,-26.909782267857135
IQV,Healthcare,31.807451,2.481648,6.8296385,1.02,2149750016.0,-0.006,-1.3590220961538435
IRM,Real Estate,87.814285,4.8396335,-28.570765,2.7,-436093504.0,,33.13386173214286
JBHT,Industrials,39.09829,2.0294626,7.048355,2.54,903028352.0,0.458,3.2950404266666595
JBL,Technology,39.58125,0.9878188,25.089136,0.82,1211624960.0,0.276,-12.288099947368423
JKHY,Technology,23.65043,4.609867,5.506521,2.2,,-0.102,-28.21891994736842
J,Industrials,49.1495,1.2176967,5.3082166,0.45,645677888.0,-0.254,13.346250426666664
JNJ,Healthcare,31.053427,6.579609,7.5776553,4.79,16885125120.0,-0.009,-2.1130460961538446
JCI,Industrials,40.326763,3.4694118,6.4321337,1.66,2984124928.0,0.153,4.523513426666661
JPM,Financial Services,15.068581,5.0152707,2.6430938,1.75,,0.469,-4.109564288235296
