ticker,sector,pe_ratio,ps_ratio,pb_ratio,peg_ratio,free_cash_flow,earnings_growth,pe_vs_sector,undervalued_flag,score,price,sma50,sma200,above_sma50,above_sma200,rsi,macd_bullish,volume_today,avg_volume_30d,volume_spike,fundamentals_score,technicals_score,headline_count,sentiment_score,sentiment_norm,macro_adjustment
MCK,Healthcare,22.60146,0.2517405,-47.93757,1.66,5657625088.0,0.372,-9.87038252407407,True,36.88893792667888,865.8250122070312,788.043251953125,834.2400860595703,True,True,65.44702489470242,True,347556.0,1103635.2,False,6.554614903935755,75,,,53.446806099538925,-3
EOG,Energy,14.257621,3.2766712,2.5091715,1.12,2864250112.0,0.396,-87.27305739523808,True,36.8368889402384,145.11500549316406,136.4510821533203,121.99179084777832,True,True,69.11204959961981,True,869698.0,3664093.2666666666,False,9.751997320241175,75,10.0,-0.0564598500728607,45.99245073064935,-3
BBY,Consumer Cyclical,16.355555,0.44469544,6.036085,1.69,1143750016.0,0.379,-26.272884538461536,True,36.83596354345015,88.30000305175781,76.84847633361817,69.21712707519531,True,True,65.60725528146907,True,1127852.0,3593401.7333333334,False,6.436894052316357,75,,,53.446806099538925,-3
PSX,Energy,20.805143,0.62707394,2.9561234,1.2,-1134499968.0,-0.568,-80.72553539523808,True,36.82735941780686,210.3300018310547,185.1524008178711,158.25489616394043,True,True,73.13119155455252,True,1137299.0,2793263.3,False,9.096731294183524,75,10.0,-0.0456539094448089,47.41915167712138,-3
HAS,Consumer Cyclical,16.72064,2.673506,20.521948,1.72,721862528.0,,-25.907799538461536,True,36.78483710382242,94.0500030517578,84.68964202880859,86.39109245300293,True,True,78.63380185856224,True,539770.0,2404795.6666666665,False,6.32327974203252,75,,,53.446806099538925,-3
MA,Financial Services,33.33719,15.006269,76.08237,1.73,16148124672.0,0.212,13.1516955057971,False,36.768188995350194,576.4400024414062,512.0789996337891,526.2393444824219,True,True,73.55449452795554,True,3319558.0,3545901.933333333,False,6.28628394542757,75,,,53.446806099538925,-3
AMP,Financial Services,13.537121,2.4212303,7.5454774,1.75,,0.117,-6.6483734942028985,True,36.73546357069622,543.719970703125,481.9345989990234,473.8952587890625,True,True,73.06534378313812,True,169283.0,734219.4333333333,False,6.213560779529842,75,,,53.446806099538925,-3
MRSH,Financial Services,23.271393,3.2505078,5.992005,1.76,4785249792.0,0.073,3.0858985057971005,False,36.71937976823844,190.4199981689453,170.26577606201172,175.47405448913574,True,True,63.02872430002465,True,1808654.0,2754865.1333333333,False,6.177818996290334,75,,,53.446806099538925,-3
NDAQ,Financial Services,27.603498,9.427141,4.44361,1.77,1691500032.0,0.141,7.418003505797099,False,36.703477703661534,94.7750015258789,87.91709945678711,88.73341354370118,True,True,66.01290993156721,True,2046293.0,4830409.766666667,False,6.142481075008334,75,,,53.446806099538925,-3
DG,Consumer Defensive,18.075071,0.65348417,3.183088,1.77,1882562304.0,0.124,-8.880667785714284,True,36.703477703661534,127.69000244140624,114.39442596435546,122.07680976867675,True,True,60.60460243557634,True,950615.0,2666953.833333333,False,6.142481075008334,75,,,53.446806099538925,-3
J,Industrials,39.100945,1.1845324,4.7437615,0.43,512446368.0,,4.297020799999999,False,36.67520540090824,132.60000610351562,125.11448623657226,133.51007251739503,True,False,61.90645383420988,True,459023.0,1077977.433333333,False,25.52409818000101,50,,,53.446806099538925,-3
AVGO,Technology,64.365,24.346783,20.954422,0.43,27212249088.0,0.854,-44.114471548780486,True,36.67520540090824,385.9599914550781,395.417896118164,364.7125411987305,False,True,44.17753717482963,True,12908398.0,23886089.933333334,False,25.52409818000101,50,,,53.446806099538925,-3
PFG,Financial Services,16.26389,1.5612761,2.0915694,1.06,,0.028,-3.9216044942028994,True,36.66186517505166,114.1999969482422,108.52676132202149,93.67415927886962,True,True,55.34453388418462,True,569337.0,1643581.2333333334,False,10.308355266893903,75,10.0,-0.0725693345069885,43.86552652474702,-3
CMG,Consumer Cyclical,35.962963,4.10438,20.758951,1.8,1087909760.0,-0.179,-6.665476538461533,True,36.6568316475693,38.810001373291016,32.72180004119873,34.95575006484985,True,True,62.62412312657035,True,25132368.0,18976995.6,False,6.038823172581135,75,,,53.446806099538925,-3
DRI,Consumer Cyclical,19.795021,1.7916874,10.679552,1.82,790974976.0,0.36,-22.833418538461537,True,36.62658860021279,206.6875,201.88163269042968,193.84509201049804,True,True,52.63898690815088,True,857270.0,1592642.3333333333,False,5.971616400677784,75,,,53.446806099538925,-3
MMM,Industrials,31.409254,3.6153824,28.216112,1.83,6350125056.0,0.328,-3.394670200000004,True,36.61171497036533,176.68499755859375,160.1615170288086,157.9520871734619,True,True,73.57028785470459,True,1356465.0,3844655.5,False,5.938563889905646,75,,,53.446806099538925,-3
TMO,Healthcare,30.88847,4.5978694,4.102254,1.83,6226625024.0,0.094,-1.5833725240740684,True,36.61171497036533,574.2249755859375,502.0613201904297,529.6277496337891,True,True,70.2146757423891,True,1150717.0,2299530.566666667,False,5.938563889905646,75,,,53.446806099538925,-3
NDSN,Industrials,31.61604,5.672466,5.143548,1.84,574589504.0,0.061,-3.1878842000000027,True,36.59700301040751,295.739990234375,289.7425030517578,267.1324225616455,True,True,61.21746829696914,True,101604.0,394670.13333333336,False,5.905870645554943,75,,,53.446806099538925,-3
NTAP,Technology,27.213837,4.8967247,25.109531,1.91,1295250048.0,0.234,-81.26563454878048,True,36.49833274493127,173.15499877929688,159.95392547607423,119.88815952301026,True,True,53.83445517862136,True,848410.0,2855660.333333333,False,5.6866033889410685,75,,,53.446806099538925,-3
ON,Technology,61.25,5.3470497,4.4705634,0.29,1282174976.0,,-47.22947154878048,True,36.48682177604394,83.22000122070312,105.62360000610352,74.85345001220703,False,True,35.4897574114152,False,4578103.0,12187313.433333334,False,37.883245680302565,25,,,53.446806099538925,0
